id,name,price,original_price,discount,rating,review_count,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,product_type
207013196,Viên Xổ Giun Tẩy Giun Sán Cho Chó Mèo Bio-Rantel 600mg,11000,11000,0,4.6,9,,,,,,,,,,xổ giun tẩy giun sán chó
205716204,'Cà phê Arabica cầu đất B''LAO FARM cà phê nguyên chất rang mộc dành cho Cold Brew - pha phin và pha máy thơm ngọt hậu C5',78659,78659,0,4.5,2,,,,,,,,,,cà phê arabica cầu đất
195160580,Cát Đất Sét Vệ Sinh Cho Mèo Catsme 8L Nhiều Mùi,65000,65000,0,5,2,,,,,,,,,,cát đất sét vệ sinh mèo
192706468,Dây dắt yếm phản quang có lót ngực lưới thoáng khí cho chó Saly Q PLC05 - M,95000,95000,0,4,1,,,,,,,,,,dây dắt yếm phản quang có
187188571,Đặc Sản Phan Thiết - Nước Chấm Cá Cơm Than Làng Chài Xưa Chai Nhựa Cao Cấp 1 Lít/Chai Đặc Biệt Thanh Dịu An Toàn Tiết Kiệm,41600,60000,18400,4.6,14,,,,,,,,,,đặc sản phan thiết nước chấm cá
157203258,[THÙNG 30 GÓI] Mì Tương Đen Bắc Kinh Ottogi 83g,288000,288000,0,4.8,16,,,,,,,,,,mì tương đen bắc
134809097,Thùng 24 Túi Sữa Trái Cây Hương Nho KUN 110ml/túi,122000,153000,31000,5,26,,,,,,,,,,thùng túi sữa trái cây
126218795,Cà phê rang xay nguyên chất (dạng xay sẵn) ILOTA 3 ĐẬM gói 500gr,159000,159000,0,0,0,,,,,,,,,,cà phê rang xay nguyên chất
110151881,Cá Cơm Sấy Giòn Rim Mắm Ớt DTFood cực Ngon,85000,85000,0,3.9,9,,,,,,,,,,cá cơm sấy giòn rim
72878779,Bột ngũ cốc mix 10 loại hạt dinh dưỡng Goce - 180g (18 gói x10g),110000,110000,0,4.5,102,,,,,,,,,,bột ngũ cốc mix loại
72217872,1Kg Hạnh Nhân Tách Vỏ Sấy Chín Nguyên Vị Thương Hiệu SK FOOD,480000,480000,0,4.1,80,,,,,,,,,,kg hạnh nhân tách vỏ
