id,name,price,original_price,discount,rating,review_count,seller_id,inventory_status,url,product_type
275276309,"Dép tổ ong ĐEN nhựa EVA siêu bền, siêu nhẹ, chống trơn trượt, đế dày (FORM LỚN ĐẶT LÙI 1-2 SIZE) Dép Nam Nữ Nhiều Màu Sắc",63000.0,85000.0,22000.0,0.0,0,265402,,https://tiki.vndep-to-ong-den-vat-lieu-eva-sieu-ben-sieu-nhe-chong-tron-truot-form-size-lon-chau-au-p275276309.html?spid=275276319,dép tổ ong đen
275252528,"Dép tổ ong VAC nhựa EVA siêu bền, siêu nhẹ, chống trơn trượt, đế dày (FORM LỚN ĐẶT LÙI 1-2 SIZE) Dép Nam Nữ Nhiều Màu Sắc",63000.0,85000.0,22000.0,5.0,3,265402,,https://tiki.vndep-to-ong-size-35-43-vat-lieu-eva-cao-cap-sieu-ben-sieu-nhe-chong-tron-truot-form-lon-nen-lui-1-2-size-p275252528.html?spid=275252759,dép tổ ong vac
72570436,"Dép Nam Quai Ngang Đúc Liền, Dép Nam DP16",79000.0,79000.0,0.0,4.6,1022,144221,,https://tiki.vnde-p-nam-quai-ngang-ke-superstar-dp65-p72570436.html?spid=278249586,de p nam quai ngang
279078759,"Giày thể thao nam đế êm nhẹ, thoáng khí đế cao su đúc, chống trơn trượt hạn chế mòn – BEE GEE - GNA2045",650000.0,1300000.0,650000.0,0.0,0,975,,https://tiki.vngiay-the-thao-nam-de-em-nhe-thoang-khi-de-cao-su-duc-chong-tron-truot-han-che-mon-bee-gee-gna2045-p279078759.html?spid=279078763,giày thể thao nam đế êm nhẹ
278620184,"Giày Nam Da Bò Cao Cấp Trường Hải Đế Cao Su GN303 hai màu đen, nâu",799000.0,799000.0,0.0,0.0,0,11395,,https://tiki.vngiay-nam-da-bo-cao-cap-truong-hai-de-cao-su-gn303-hai-mau-den-nau-p278620184.html?spid=278620198,giày nam da bò cao cấp
278861750,"Giày Lười Da Nam Trường Hải GL330 Đế Âm da bò nguyên tấm 2 màu đen, vàng thời trang nam cao cấp",799000.0,799000.0,0.0,0.0,0,11395,,https://tiki.vngiay-luoi-da-nam-truong-hai-gl330-de-am-da-bo-nguyen-tam-2-mau-den-vang-thoi-trang-nam-cao-cap-p278861750.html?spid=278861756,giày lười da nam trường
277718250,Giày Sandal nam cao cấp kiểu dáng mới – GSDNA10,1144000.0,1144000.0,0.0,0.0,0,975,,https://tiki.vngiay-sandal-nam-cao-cap-kieu-dang-moi-gsdna10-p277718250.html?spid=277718272,giày sandal nam cao cấp
277719639,Giày Sandal nam cao cấp kiểu dáng mới – GSDNA12,1056000.0,1056000.0,0.0,0.0,0,975,,https://tiki.vngiay-sandal-nam-cao-cap-kieu-dang-moi-gsdna12-p277719639.html?spid=277719669,giày sandal nam cao cấp
216098291,"Keo Dán Giày Chuyên Dụng, Mau Khô, Chống Nước, Đàn Hồi, Keo Đa Năng Siêu Dính",20000.0,20000.0,0.0,4.5,204,17480,,https://tiki.vnkeo-dan-giay-chuyen-dung-mau-kho-chong-nuoc-dan-hoi-keo-da-nang-sieu-dinh-p216098291.html?spid=216098292,keo dán giày chuyên dụng
107802069,Keo Dán Giày Nhiệt XIMO Trong Suốt Siêu Dính Dùng Không Tổn Thương Da XKDG06,32000.0,32000.0,0.0,4.5,66,1028,,https://tiki.vnkeo-dan-giay-nhiet-ximo-trong-suot-sieu-dinh-dung-khong-ton-thuong-da-xkdg06-p107802069.html?spid=252869410,keo dán giày nhiệt ximo
