product_id,name,price,original_price,discount,rating,review_count, ,url,product_type
55615437,Tẩy Da Chết Mặt Tế Bào Gốc Thực Vật Lành Tính Làm Sạch Sâu Dịu Nhẹ Dưỡng Ẩm Sáng Da Cho Da Dầu Mụn Nhạy Cảm Cellkey-Scien White Peeling Gel (80ml),297500.0,350000.0,52500.0,4.7,409,,https://tiki.vntay-da-chet-te-bao-goc-thuc-vat-cellkey-scien-white-peeling-gel-50ml-p55615437.html?spid=55615438,tẩy da chết mặt
90508754,"Hydration moisturizer cream, kem cấp ẩm kiềm dầu, chống mụn, dưỡng trắng da Wonmom 50g",232500.0,310000.0,77500.0,4.5,7,,https://tiki.vnhydration-moisturizer-cream-kem-cap-am-kiem-dau-chong-mun-duong-trang-da-wonmom-50g-p90508754.html?spid=90508755,hydration moisturizer cream kem
277778079,Nước Hoa Hồng Tái Sinh Da Whoo Cheongidan Rejuvenating Pro Radiance Balancing Toner 150ml,2096000.0,2660000.0,564000.0,5.0,1,,https://tiki.vnnuoc-hoa-hong-tai-sinh-da-whoo-cheongidan-rejuvenating-pro-radiance-balancing-toner-150ml-p277778079.html?spid=277778080,nước hoa hồng tái sinh da
274856462,Nước Hoa Hồng Cấp Ẩm Kiềm Dầu Dưỡng Trắng Xóa Nhăn Cellkey-Scien Moist Daily Toner (150ml),578550.0,665000.0,86450.0,5.0,9,,https://tiki.vnnuoc-hoa-hong-cap-am-kiem-dau-duong-trang-xoa-nhan-cellkey-scien-moist-daily-toner-150ml-p274856462.html?spid=274856463,nước hoa hồng cấp ẩm kiềm
273872221,Cao Nám Whoo Làm Trắng Làm Mờ Vết Thâm Nám combo 10 vỉ,190000.0,190000.0,0.0,5.0,2,,https://tiki.vncao-nam-whoo-lam-trang-lam-mo-vet-tham-nam-combo-30-vi-p273872221.html?spid=273872222,cao nám whoo làm
274077506,Kem Dưỡng Olay Luminous Sáng Da Mờ Thâm Nám Ban Đêm 50g,195000.0,269000.0,74000.0,4.3,7,,https://tiki.vnkem-duong-olay-luminous-sang-da-mo-tham-nam-ban-dem-50g-p274077506.html?spid=37951710,kem dưỡng olay luminous
260844985,"Kem Làm Mờ Sẹo Thâm, Sẹo Rỗ, Sẹo Lõm Scar Esthetique của Rejuvaskin - thương hiệu hỗ trợ trị sẹo Hoa Kỳ ",318000.0,420000.0,102000.0,4.6,1581,,https://tiki.vnkem-lam-mo-seo-tham-seo-ro-seo-lom-scar-esthetique-cua-rejuvaskin-thuong-hieu-ho-tro-tri-seo-hoa-ky-p260844985.html?spid=38705976,kem làm mờ sẹo
252170062,Sữa Rửa Mặt Tạo Bọt Dịu Lành Cho Da Nhạy Cảm Cetaphil Hydrating Foaming Cream Cleanser 473ml,450000.0,450000.0,0.0,4.0,1,,https://tiki.vnsua-rua-mat-tao-bot-diu-lanh-cho-da-nhay-cam-cetaphil-hydrating-foaming-cream-cleanser-473ml-p252170062.html?spid=252170064,sữa rửa mặt tạo
247287157,Kem dưỡng trắng dạng gel Hada Labo Perfect White Tranexamic Acid Cream 50g,209000.0,270000.0,61000.0,4.5,27,,https://tiki.vnkem-duong-trang-dang-gel-hada-labo-perfect-white-tranexamic-acid-cream-50g-p247287157.html?spid=247287158,kem dưỡng trắng dạng
200731939,Combo 5 Bông Tẩy Trang Jomi (80 Miếng/Túi),115000.0,150000.0,35000.0,5.0,5,,https://tiki.vncombo-5-bong-tay-trang-jomi-80-mieng-tui-p200731939.html?spid=200731940,combo tẩy trang
