product_id,name,price,original_price,discount,rating,review_count,inventory_status,url,product_type
160424898,"Dây Đồng Hồ Da Bò Cao Cấp, Kiểu VINTAGE THREAD Phẳng Mỏng, Mặt Lót Chống Thấm Mồ Hôi, Tích Hợp Lớp Gia Cố Chống Giãn Đặc Biệt, Phụ Kiện Khóa và Chốt Bằng Thép Không Gỉ 316L - Hàng Chính Hãng SAIGIO",1000000.0,1000000.0,0.0,5.0,3,,https://tiki.vnday-dong-ho-da-bo-cao-cap-kieu-vintage-thread-phang-mong-mat-lot-chong-tham-mo-hoi-tich-hop-lop-gia-co-chong-gian-dac-biet-phu-kien-khoa-va-chot-bang-thep-khong-gi-316l-hang-chinh-hang-saigio-p160424898.html?spid=160424910,dây đồng hồ da bò cao cấp
157417398,"Dây Đồng Hồ Da Bò Cao Cấp, Kiểu Dáng Cổ Điển - Phẳng Mỏng - Chỉ Trắng, Mặt Lót Chống Thấm Mồ Hôi, Tích Hợp Lớp Gia Cố Chống Giãn Đặc Biệt, Phụ Kiện Khóa và Chốt Bằng Thép Không Gỉ 316L - Hàng Chính Hãng SAIGIO",1000000.0,1000000.0,0.0,5.0,1,,https://tiki.vnday-dong-ho-da-bo-cao-cap-kieu-dang-co-dien-phang-mong-chi-trang-mat-lot-chong-tham-mo-hoi-tich-hop-lop-gia-co-chong-gian-dac-biet-phu-kien-khoa-va-chot-bang-thep-khong-gi-316l-hang-chinh-hang-saigio-p157417398.html?spid=157417402,dây đồng hồ da bò cao cấp
102394016,Đồng Hồ Nam Chính Hãng Casio MTP-V001L-1B Dây Da,657900.0,774000.0,116100.0,4.5,2,,https://tiki.vndong-ho-nam-chinh-hang-casio-mtp-v001l-1b-day-da-p102394016.html?spid=102394017,đồng hồ nam hãng casio
273921518,Dây Redmi Watch 5/ 4/ Band 8 Pro/ Band 9 Pro (DMI4),120000.0,120000.0,0.0,5.0,2,,https://tiki.vnday-redmi-watch-4-band-8-pro-dmi4-p273921518.html?spid=275822655,dây redmi watch
272962220,[For Huawei GT4 ] Kính cường lực bảo vệ màn hình cho Huawei Watch GT4 46mm và 41mm,30000.0,30000.0,0.0,5.0,1,,https://tiki.vnfor-huawei-gt4-kinh-cuong-luc-bao-ve-man-hinh-cho-huawei-watch-gt4-46mm-va-41mm-p272962220.html?spid=272962226,kính cường lực bảo vệ màn hình
272123738,Dây đeo cho Samsung Watch 7/ FE/ 6/ 6 Classic/ 5/ 5 Pro/ 4/ 4 Classic/ 3 41/ 45mm/ Active 2/ Active/ Gear S3 (DC),139000.0,139000.0,0.0,0.0,0,,https://tiki.vnday-deo-samsung-watch-6-6-classic-5-5-pro-4-4-classic-3-41-45mm-active-2-active-gear-s3-dc-p272123738.html?spid=272123786,dây đeo samsung watch
272123027,Dây đeo cho Garmin Forerunner 570/ 165/ 265/ 265S/ 255/255S/ 245/ 645/Vivomove/ Vivoactive 3/4/ 5/ 6/ 2S/3S/4S/ Venu 2/3/ SQ2 (DC),139000.0,139000.0,0.0,4.0,2,,https://tiki.vnday-deo-cho-garmin-forerunner-965-965s-265-265s-255-255s-245-645-vivomove-vivoactive-3-4-2s-3s-4s-venu-2-sq2-dc-p272123027.html?spid=272123093,dây đeo garmin forerunner
272091220,"Cuộn Dây Thun CO GIÃN màu Nâu chuyên xỏ vòng đeo tay hạt chuỗi  Dây này là dây thun chuyên xỏ vòng chuỗi màu Nâu, có đủ màu Anh Chị đang đeo chuỗi muốn thay dây khác cho vòng thì đặt cuộn Thun chỉ này nhé",63000.0,90000.0,27000.0,5.0,1,,https://tiki.vncuon-day-thun-co-gian-mau-nau-chuyen-xo-vong-deo-tay-hat-chuoi-day-nay-la-day-thun-chuyen-xo-vong-chuoi-mau-nau-co-du-mau-anh-chi-dang-deo-chuoi-muon-thay-day-khac-cho-vong-thi-dat-cuon-thun-chi-nay-nhe-p272091220.html?spid=272091234,cuộn dây thun co giãn màu
103824006,Đồng Hồ Đeo Tay Nữ Chính Hãng Casio LW-204-4ADF Dây Nhựa,902000.0,1168000.0,266000.0,4.8,4,,https://tiki.vndong-ho-deo-tay-nu-chinh-hang-casio-lw-204-4adf-day-nhua-p103824006.html?spid=103824007,đồng hồ đeo tay nữ
13403838,Đồng hồ nam dây da Casio MTP-1381L-7AVDF,1893000.0,1893000.0,0.0,4.5,2,,https://tiki.vndong-ho-nam-day-da-casio-mtp-1381l-7avdf-p13403838.html?spid=42101454,đồng hồ nam dây da
